names,ids,types,grade,director,addr,actor,year,comment
无言的山丘,1298944,剧情 / 历史,9.2,王童,中国台湾,杨贵媚 / 黄品源 / 澎恰恰,20世纪90年代,31456
革命往事,1301026,冒险 / 战争 / 西部,9.1,赛尔乔·莱昂内,意大利,罗德·斯泰格尔 / 詹姆斯·柯本 / 罗慕洛·瓦利,20世纪70年代,23954
剃头匠,3097352,剧情 / 传记,9.2,哈斯朝鲁,中国大陆,靖奎,21世纪00年代,20696
怦然心动,3319755,剧情 / 喜剧 / 爱情,9.1,罗伯·莱纳,美国,玛德琳·卡罗尔 / 卡兰·麦克奥利菲 / 瑞贝卡·德·莫妮,21世纪10年代,1948482
少年派的奇幻漂流,1929463,剧情 / 奇幻 / 冒险,9.1,李安,美国/中国台湾/英国/加拿大,苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波,21世纪10年代,1424392
何以为家,30170448,剧情,9.1,娜丁·拉巴基,黎巴嫩/美国/法国/塞浦路斯/卡塔尔/英国,赞恩·阿尔·拉菲亚 / 约丹诺斯·希费罗 / 博鲁瓦蒂夫·特雷杰·班科尔,21世纪10年代,1112099
罗马假日,1293839,喜剧 / 剧情 / 爱情,9.1,威廉·惠勒,美国,奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特,20世纪50年代,1001569
闻香识女人,1298624,剧情,9.1,马丁·布莱斯特,美国,阿尔·帕西诺 / 克里斯·奥唐纳 / 詹姆斯·瑞布霍恩,20世纪90年代,961773
指环王1：护戒使者,1291571,剧情 / 动作 / 奇幻 / 冒险,9.1,彼得·杰克逊,新西兰/美国,伊利亚·伍德 / 西恩·奥斯汀 / 伊恩·麦克莱恩,21世纪00年代,906948
黑客帝国,1291843,动作 / 科幻,9.1,莉莉·沃卓斯基 / 拉娜·沃卓斯基,美国,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯,20世纪90年代,894906
美丽心灵,1306029,传记 / 剧情,9.1,朗·霍华德,美国,罗素·克劳 / 艾德·哈里斯 / 詹妮弗·康纳利,21世纪00年代,817583
拯救大兵瑞恩,1292849,剧情 / 战争,9.1,史蒂文·斯皮尔伯格,美国,汤姆·汉克斯 / 汤姆·塞兹摩尔 / 爱德华·伯恩斯,20世纪90年代,689077
音乐之声,1294408,剧情 / 传记 / 爱情 / 歌舞,9.1,罗伯特·怀斯,美国,朱莉·安德鲁斯 / 克里斯托弗·普卢默 / 埃琳诺·帕克,20世纪60年代,646241
两杆大烟枪,1293350,剧情 / 喜剧 / 犯罪,9.1,盖·里奇,英国,杰森·弗莱明 / 德克斯特·弗莱彻 / 尼克·莫兰,20世纪90年代,639237
飞越疯人院,1292224,剧情,9.1,米洛斯·福尔曼,美国,杰克·尼科尔森 / 丹尼·德维托 / 克里斯托弗·洛伊德,20世纪70年代,578619
狩猎,6985810,剧情,9.1,托马斯·温特伯格,丹麦/瑞典,麦斯·米科尔森 / 托玛斯·博·拉森 / 安妮卡·韦德科普,21世纪10年代,432158
一一,1292434,剧情 / 爱情 / 家庭,9.1,杨德昌,中国台湾/日本,吴念真 / 李凯莉 / 金燕玲,21世纪00年代,448534
无人知晓,1292337,剧情,9.1,是枝裕和,日本,柳乐优弥 / 北浦爱 / 木村飞影,21世纪00年代,351512
完美的世界,1300992,剧情 / 犯罪,9.1,克林特·伊斯特伍德,美国,凯文·科斯特纳 / 劳拉·邓恩 / 克林特·伊斯特伍德,20世纪90年代,340960
雨中曲,1293460,喜剧 / 歌舞 / 爱情,9.1,斯坦利·多南 / 吉恩·凯利,美国,吉恩·凯利 / 唐纳德·奥康纳 / 黛比·雷诺斯,20世纪50年代,249089
东京物语,1291568,剧情 / 家庭,9.1,小津安二郎,日本,笠智众 / 原节子 / 杉村春子,20世纪50年代,148222
莫娣,25938803,剧情 / 传记 / 爱情,9.1,艾斯林·沃什,爱尔兰/加拿大,莎莉·霍金斯 / 伊桑·霍克 / 卡瑞·玛切特,21世纪10年代,148937
城南旧事,1300894,剧情,9.1,吴贻弓,中国大陆,沈洁 / 张丰毅 / 张闽,20世纪80年代,138497
偷自行车的人,1295873,犯罪 / 剧情,9.1,维托里奥·德西卡,意大利,兰贝托·马乔拉尼 / 恩佐·斯泰奥拉 / 莉安拉·卡雷尔,20世纪40年代,114560
爱·回家,1299361,剧情 / 家庭,9.0,李廷香,韩国,金艺芬 / 俞承豪 / 童孝熙,21世纪00年代,92581
大都会,1298107,剧情 / 科幻,9.1,弗里茨·朗,德国,阿弗莱德·阿贝尔 / 古斯塔夫·佛力施 / 鲁道夫·克莱恩-鲁格,20世纪20年代,55050
影武者,1303067,剧情 / 历史 / 战争,9.1,黑泽明,日本/美国,仲代达矢 / 山崎努 / 萩原健一,20世纪80年代,78538
光荣之路,1292969,剧情 / 战争,9.1,斯坦利·库布里克,美国,柯克·道格拉斯 / 拉尔夫·米克 / 阿道夫·门吉欧,20世纪50年代,59728
从海底出击,1293909,剧情 / 历史 / 战争 / 冒险,9.1,沃尔夫冈·彼德森,西德,尤尔根·普洛斯诺 / 赫贝特·格勒内梅厄 / Klaus Wennemann,20世纪80年代,46625
乡愁,1291556,剧情,9.1,安德烈·塔可夫斯基,苏联/意大利,奥列格·扬科夫斯基 / 厄兰·约瑟夫森 / 多米齐亚娜·焦尔达诺,20世纪80年代,49247
卡比利亚之夜,1294781,剧情,9.1,费德里科·费里尼,意大利/法国,朱丽叶塔·马西纳 / 弗朗索瓦·佩里埃 / 弗兰卡·马尔齐,20世纪50年代,46103
永恒和一日,1293455,剧情,9.1,西奥·安哲罗普洛斯,法国/意大利/希腊/德国,布鲁诺·冈茨 / 伊莎贝拉·雷纳德 / 法布里齐奥·本蒂沃利奥,20世纪90年代,45351
神女,1302210,剧情,9.1,吴永刚,中国大陆,阮玲玉 / 黎铿 / 章志直,20世纪30年代,38874
熊的故事,1300334,剧情,9.1,让-雅克·阿诺,法国/美国,巴特熊 / 约克熊 / 切基·卡尤,20世纪80年代,30012
将军号,1292778,剧情 / 喜剧 / 动作 / 战争 / 冒险,9.1,巴斯特·基顿 / 克莱德·布鲁克曼,美国,巴斯特·基顿 / 玛丽昂·马克 / 格伦·卡文德,20世纪20年代,32482
鳄鱼波鞋走天涯,1301811,剧情 / 冒险,9.1,彼得·霍顿,美国,布拉德·兰弗洛 / 埃里克·伊根 / Delphine French,20世纪90年代,44608
流浪者之歌,1303525,喜剧 / 犯罪 / 剧情 / 奇幻,9.1,埃米尔·库斯图里卡,意大利/英国/南斯拉夫,达沃尔·杜伊莫维奇 / 博拉·托德洛维奇 / 柳比察·阿德若维奇,20世纪80年代,23151
士兵之歌,1295614,剧情 / 爱情 / 战争,9.1,格利高利·丘赫莱依,苏联,弗拉迪米尔·伊瓦绍夫 / 然娜·普罗霍连科 / 安东宁娜·马克西莫娃,20世纪50年代,16680
情迷意乱,1422091,剧情 / 爱情 / 家庭,9.1,成濑巳喜男,日本,高峰秀子 / 加山雄三 / 草笛光子,20世纪60年代,15395
我不是药神,26752088,剧情 / 喜剧,9.0,文牧野,中国大陆,徐峥 / 王传君 / 周一围,21世纪10年代,2236720
让子弹飞,3742360,剧情 / 喜剧 / 动作 / 西部,9.0,姜文,中国大陆/中国香港,姜文 / 葛优 / 周润发,21世纪10年代,1816421
摔跤吧！爸爸,26387939,剧情 / 传记 / 运动 / 家庭,9.0,涅提·蒂瓦里,印度,阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔,21世纪10年代,1660514
大话西游之月光宝盒,1299398,喜剧 / 爱情 / 奇幻 / 古装,9.0,刘镇伟,中国香港/中国大陆,周星驰 / 吴孟达 / 罗家英,20世纪90年代,1293663
本杰明·巴顿奇事,1485260,剧情 / 爱情 / 奇幻,9.0,大卫·芬奇,美国,凯特·布兰切特 / 布拉德·皮特 / 朱莉娅·奥蒙德,21世纪00年代,1050087
搏击俱乐部,1292000,剧情 / 动作 / 悬疑 / 惊悚,9.0,大卫·芬奇,美国,爱德华·诺顿 / 布拉德·皮特 / 海伦娜·伯翰·卡特,20世纪90年代,911210
哈利·波特与死亡圣器(下),3011235,奇幻 / 冒险,9.0,大卫·叶茨,美国/英国,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特,21世纪10年代,907101
春光乍泄,1292679,剧情 / 爱情 / 同性,9.0,王家卫,中国香港/日本/韩国,张国荣 / 梁朝伟 / 张震,20世纪90年代,675065
超脱,5322596,剧情,9.0,托尼·凯耶,美国,阿德里安·布罗迪 / 马西娅·盖伊·哈登 / 詹姆斯·肯恩,21世纪10年代,671279
教父3,1294240,剧情 / 犯罪,9.0,弗朗西斯·福特·科波拉,美国,阿尔·帕西诺 / 黛安·基顿 / 塔莉娅·夏尔,20世纪90年代,405612
喜宴,1303037,剧情 / 喜剧 / 爱情 / 同性 / 家庭,9.0,李安,中国台湾/美国,赵文瑄 / 归亚蕾 / 郎雄,20世纪90年代,399001
我是山姆,1306861,剧情 / 家庭,9.0,杰茜·尼尔森,美国,西恩·潘 / 达科塔·范宁 / 米歇尔·菲佛,21世纪00年代,359491
上帝之城,1292208,犯罪 / 剧情,9.0,费尔南多·梅里尔斯 / 卡迪亚·兰德,巴西/法国,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / 菲利佩·哈根森,21世纪00年代,319179
惊魂记,1293181,悬疑 / 惊悚 / 恐怖,9.0,阿尔弗雷德·希区柯克,美国,安东尼·博金斯 / 维拉·迈尔斯 / 约翰·加文,20世纪60年代,329061
我爱你,5908478,剧情 / 爱情,9.0,秋昌民,韩国,宋在浩 / 李顺载 / 尹秀晶,21世纪10年代,171709
楢山节考,1296703,剧情 / 家庭,9.0,今村昌平,日本,绪形拳 / 坂本澄子 / 左顿平,20世纪80年代,65927
用心棒,1292515,剧情 / 动作 / 惊悚,9.0,黑泽明,日本,三船敏郎 / 仲代达矢 / 司叶子,20世纪60年代,57652
雾中风景,1294252,剧情,9.0,西奥·安哲罗普洛斯,希腊/法国/意大利,米哈利斯·齐克 / 塔尼娅·帕拉依奥罗葛 / 斯特拉托斯·楚措格卢,20世纪80年代,52745
镜子,1299248,传记 / 剧情 / 历史 / 战争,9.0,安德烈·塔可夫斯基,苏联,玛格丽特·捷列霍娃 / 因诺肯季·斯莫克图诺夫斯基 / 奥列格·扬科夫斯基,20世纪70年代,48018
我是,1763905,剧情,8.9,多罗塔·肯杰扎夫斯卡,波兰,Piotr Jagielski / Agnieszka Nagórzycka / Edyta Jungowska,21世纪00年代,13489
情书,1292220,剧情 / 爱情,8.9,岩井俊二,日本,中山美穗 / 丰川悦司 / 酒井美纪,20世纪90年代,1210758
蝴蝶效应,1292343,剧情 / 悬疑 / 科幻 / 惊悚,8.9,埃里克·布雷斯 / J·麦基·格鲁伯,美国/加拿大,阿什顿·库彻 / 梅洛拉·沃尔特斯 / 艾米·斯马特,21世纪00年代,1007408
沉默的羔羊,1293544,剧情 / 犯罪 / 惊悚,8.9,乔纳森·戴米,美国,朱迪·福斯特 / 安东尼·霍普金斯 / 斯科特·格伦,20世纪90年代,959893
致命魔术,1780330,剧情 / 悬疑 / 惊悚,8.9,克里斯托弗·诺兰,英国/美国,休·杰克曼 / 克里斯蒂安·贝尔 / 迈克尔·凯恩,21世纪00年代,918358
低俗小说,1291832,剧情 / 喜剧 / 犯罪,8.9,昆汀·塔伦蒂诺,美国,约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫,20世纪90年代,902691
被嫌弃的松子的一生,1787291,剧情 / 歌舞,8.8,中岛哲也,日本,中谷美纪 / 永山瑛太 / 香川照之,21世纪00年代,742932
心灵捕手,1292656,剧情,9.0,格斯·范·桑特,美国,马特·达蒙 / 罗宾·威廉姆斯 / 本·阿弗莱克,20世纪90年代,774149
入殓师,2149806,剧情,8.9,泷田洋二郎,日本,本木雅弘 / 广末凉子 / 山崎努,21世纪00年代,712911
阳光灿烂的日子,1291875,剧情 / 爱情,8.8,姜文,中国大陆/中国香港,夏雨 / 宁静 / 陶虹,20世纪90年代,657471
菊次郎的夏天,1293359,剧情 / 喜剧,8.9,北野武,日本,北野武 / 关口雄介 / 岸本加世子,20世纪90年代,640842
勇敢的心,1294639,动作 / 传记 / 剧情 / 历史 / 战争,8.9,梅尔·吉布森,美国,梅尔·吉布森 / 苏菲·玛索 / 布莱恩·考克斯,20世纪90年代,584235
第六感,1297630,剧情 / 悬疑 / 惊悚,8.9,M·奈特·沙马兰,美国,布鲁斯·威利斯 / 海利·乔·奥斯蒙 / 托妮·科莱特,20世纪90年代,600318
7号房的礼物,10777687,剧情 / 喜剧 / 家庭,8.9,李焕庆,韩国,柳承龙 / 朴信惠 / 郑镇荣,21世纪10年代,593141
爱在日落黄昏时,1291990,剧情 / 爱情,8.9,理查德·林克莱特,美国/法国,伊桑·霍克 / 朱莉·德尔佩 / 弗农·多布切夫,21世纪00年代,611625
甜蜜蜜,1305164,剧情 / 爱情,8.9,陈可辛,中国香港,黎明 / 张曼玉 / 杨恭如,20世纪90年代,621592
爱在午夜降临前,10808442,剧情 / 爱情,8.9,理查德·林克莱特,美国/希腊,伊桑·霍克 / 朱莉·德尔佩 / 肖姆斯·戴维-菲茨帕特里克,21世纪10年代,441480
卢旺达饭店,1291822,剧情 / 传记 / 历史 / 战争,8.9,特瑞·乔治,英国/南非/意大利/美国,唐·钱德尔 / 苏菲·奥康内多 / 华金·菲尼克斯,21世纪00年代,351465
绿里奇迹,1300374,犯罪 / 剧情 / 奇幻 / 悬疑,8.9,弗兰克·德拉邦特,美国,汤姆·汉克斯 / 大卫·摩斯 / 迈克·克拉克·邓肯,20世纪90年代,363299
牯岭街少年杀人事件,1292329,剧情 / 犯罪,8.9,杨德昌,中国台湾,张震 / 杨静怡 / 张国柱,20世纪90年代,337949
虎口脱险,1296909,喜剧 / 战争,8.9,热拉尔·乌里,法国/英国,路易·德·菲奈斯 / 布尔维尔 / 克劳迪奥·布鲁克,20世纪60年代,278164
地球上的星星,2363506,剧情 / 儿童 / 家庭,8.9,阿米尔·汗,印度,达席尔·萨法瑞 / 阿米尔·汗 / 塔奈·切赫达,21世纪00年代,210620
追随,1397546,犯罪 / 悬疑 / 惊悚,8.9,克里斯托弗·诺兰,英国,杰里米·西奥伯德 / 亚历克斯·霍 / 露西·拉塞尔,20世纪90年代,194280
勇士,3217169,剧情 / 运动 / 家庭,8.9,加文·欧康诺,美国,汤姆·哈迪 / 乔尔·埃哲顿 / 尼克·诺特,21世纪10年代,170185
伴我同行,1292925,剧情 / 儿童 / 冒险,8.9,罗伯·莱纳,美国,瑞凡·菲尼克斯 / 威尔·惠顿 / 科里·费尔德曼,20世纪80年代,116677
赛德克·巴莱(上)：太阳旗,10450409,剧情 / 历史 / 战争,8.9,魏德圣,中国台湾,林庆台 / 游大庆 / 马志翔,21世纪10年代,109866
奇爱博士,1322848,剧情 / 喜剧 / 战争,8.9,斯坦利·库布里克,美国/英国,彼得·塞勒斯 / 乔治·C·斯科特 / 斯特林·海登,20世纪60年代,109735
乱,1296196,剧情 / 动作,8.9,黑泽明,日本/法国,仲代达矢 / 寺尾聪 / 根津甚八,20世纪80年代,98696
